video_id,category_id,country,channel_id,channel_title,logged_at_initial,view_count_initial,like_count_initial,comment_count_initial,c_view_count_initial,c_subscriber_count_initial,logged_at_final,view_count_final,like_count_final,comment_count_final,c_view_count_final,c_subscriber_count_final,published_year,published_month,published_day_of_week,published_time,view_count_difference,like_count_difference,avg_view_diff_per_category,avg_likes_diff_per_category,comment_count_difference,avg_comment_diff_per_category,subscriber_count_difference,engagement_score,channel_authority
el2M_qxJsC8,22.0,US,UCf1wnqlal9GEX3pqARGFs1Q, editor fan,2025-07-24 20:19:07,3.0,1.0,0.0,8619.0,38.0,2025-07-24 21:19:23,3.0,1.0,0.0,9903.0,39.0,2025,7,Thursday,19:19:27,0.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,1.0,0.0,3.6635616461296463
ELuCmy0GZik,22.0,unknown,UCDYBtRTXukdeM2WtO3RTr7A,Galaxy,2025-07-24 20:19:07,0.0,0.0,0.0,5891.0,11.0,2025-07-24 21:19:23,0.0,0.0,0.0,5891.0,11.0,2025,7,Thursday,20:00:15,0.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,2.4849066497880004
eMOfRrl2Xfc,17.0,GH,UCmc7DdHroMQGA27U3LQxhgQ,KASAYANKA TV,2025-07-24 20:19:07,72.0,13.0,2.0,664816.0,6430.0,2025-07-24 21:19:23,110.0,20.0,2.0,665244.0,6430.0,2025,7,Thursday,19:44:40,38.0,7.0,1323.0,29.375,0.0,1.875,0.0,0.18421052631578946,8.768885326134862
eNcP3aTKOCo,22.0,IN,UC42yMCYBiveCu3_E34mYfqQ,Aevy Video School,2025-07-24 20:19:07,1065.0,112.0,6.0,61237634.0,174000.0,2025-07-24 21:19:23,2951.0,369.0,10.0,61365192.0,174000.0,2025,7,Thursday,19:54:42,1886.0,257.0,1481.1782945736434,110.73643410852713,4.0,4.093023255813954,0.0,0.14262990455991517,12.066816325306588
Esdss-iRN3Y,20.0,BD,UCLP3I0Co1nRCWO0K3JKoHVg,BOT Gamer  BD,2025-07-24 20:19:07,8.0,0.0,0.0,26467.0,84.0,2025-07-24 21:19:23,28.0,0.0,0.0,26467.0,84.0,2025,7,Thursday,19:52:26,20.0,0.0,7633.540540540541,38.891891891891895,0.0,0.32432432432432434,0.0,0.0,4.442651256490317
ews4Pa_MMp0,22.0,unknown,UChzHXZyzhW0lyIu8qhWBJAw,Snaptide Quiz ,2025-07-24 20:19:07,327.0,0.0,0.0,27210.0,58.0,2025-07-24 21:19:23,335.0,0.0,0.0,27210.0,58.0,2025,7,Thursday,19:20:49,8.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,4.07753744390572
f_D_hM_X6Cw,22.0,unknown,UCrIs0TvFG-CiBQD5q1KYaKg,Horror,2025-07-24 20:19:07,20.0,1.0,0.0,5489.0,14.0,2025-07-24 21:19:23,50.0,1.0,0.0,5489.0,14.0,2025,7,Thursday,20:04:29,30.0,0.0,1481.1782945736434,110.73643410852713,0.0,4.093023255813954,0.0,0.0,2.70805020110221
fBIpJf8tNsk,23.0,IN,UCFWtCuxz3_w3H5-oYkIBD4A,Test Your Mind,2025-07-24 20:19:07,160.0,0.0,0.0,47673883.0,186000.0,2025-07-24 21:19:23,160.0,0.0,0.0,47677768.0,186000.0,2025,7,Thursday,19:25:51,0.0,0.0,1012.8636363636364,34.63636363636363,0.0,1.5,0.0,0.0,12.133507329024972
FBKUW0HFW4Q,22.0,unknown,UCTA9-WLGxKV9dOJ8lZzQsrg,Tari family,2025-07-24 20:19:07,3225.0,220.0,44.0,1453015415.0,2220000.0,2025-07-24 21:19:23,6305.0,305.0,49.0,1454066185.0,2220000.0,2025,7,Thursday,19:29:18,3080.0,85.0,1481.1782945736434,110.73643410852713,5.0,4.093023255813954,0.0,0.032467532467532464,14.613018204298811
fktkqT3z3Zs,10.0,GB,UCADnX66wjr1ipfRBg8UYiGw,MarchVivo,2025-07-24 20:19:07,14.0,1.0,0.0,898335.0,9840.0,2025-07-24 21:19:23,21.0,2.0,0.0,899439.0,9840.0,2025,7,Thursday,19:31:05,7.0,1.0,218.92307692307693,4.076923076923077,0.0,0.6923076923076923,0.0,0.14285714285714285,9.194312610898985
